0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,Hubheight
0,0,0,0,0.0,0.0,0.0,0.018,0.036,0.053,0.07,0.09366666666666666,0.117,0.14666666666666667,0.17633333333333334,0.225,0.2733333333333333,0.35133333333333333,0.42933333333333334,0.529,0.629,0.7436666666666667,0.8586666666666667,0.915,0.9666666666666667,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
0,0,0,0,0.0,0.0,0.00375,0.02375,0.046875,0.08125,0.125625,0.16875,0.216875,0.286875,0.356875,0.44375,0.530625,0.6175,0.70375,0.784375,0.864375,0.9375,0.9825,0.996875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0
0,0,0,0,0.0,0.0024,0.0136,0.026,0.0404,0.066,0.094,0.128,0.1636,0.212,0.262,0.3304,0.3988,0.4784,0.5576,0.6676,0.7772,0.868,0.9252,0.966,0.9832,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
0,0,0,0,0.0,0.0,0.0,0.0,0.014545454545454545,0.02727272727272727,0.041212121212121214,0.07424242424242425,0.10909090909090909,0.15757575757575756,0.2084848484848485,0.27424242424242423,0.3418181818181818,0.43636363636363634,0.5333333333333333,0.646969696969697,0.7612121212121212,0.8654545454545455,0.943030303030303,0.9793939393939394,0.9939393939393939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0
0,0,0,0,0.0,0.0,0.0,0.0,0.00875,0.01875,0.035,0.063125,0.09375,0.1375,0.18125,0.240625,0.3,0.38625,0.4725,0.58625,0.7,0.79875,0.8975,0.95,0.96875,0.990625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0
0,0,0,0,0.0,0.0,0.0,0.0,0.017083333333333332,0.041666666666666664,0.07041666666666667,0.10833333333333334,0.15041666666666667,0.19583333333333333,0.24333333333333335,0.30833333333333335,0.37625,0.4666666666666667,0.5570833333333334,0.6479166666666667,0.735,0.81875,0.9,0.94375,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
0,0,0,0,0.0,0.0,0.0,0.0,0.015447154471544716,0.0416260162601626,0.06780487804878049,0.1048780487804878,0.1419512195121951,0.19853658536585367,0.2551219512195122,0.323739837398374,0.3921951219512195,0.5011382113821138,0.6100813008130082,0.7211382113821139,0.8320325203252033,0.9065040650406504,0.98,0.9983739837398374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,104.5
0,0,0,0,0.0,0.0,0.0,0.0,0.013658536585365854,0.03414634146341464,0.05495934959349594,0.08227642276422764,0.1094308943089431,0.14650406504065042,0.18341463414634146,0.22699186991869919,0.27040650406504063,0.32699186991869916,0.38357723577235775,0.44991869918699184,0.516260162601626,0.604390243902439,0.6923577235772358,0.7586991869918699,0.8250406504065041,0.8804878048780488,0.9359349593495935,0.983739837398374,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,95.0
0,0,0,0,0.0,0.0,0.0,0.01361111111111111,0.0275,0.05472222222222222,0.08222222222222222,0.12333333333333334,0.16444444444444445,0.22138888888888889,0.2786111111111111,0.3491666666666667,0.4197222222222222,0.5116666666666667,0.6033333333333334,0.7130555555555556,0.8227777777777778,0.9038888888888889,0.9852777777777778,0.9958333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0
0,0,0,0,0.0,0.0,0.0,0.016666666666666666,0.03766666666666667,0.061,0.08433333333333333,0.114,0.14333333333333334,0.18966666666666668,0.23566666666666666,0.297,0.35833333333333334,0.43533333333333335,0.5123333333333333,0.5986666666666667,0.6846666666666666,0.7673333333333333,0.8496666666666667,0.9166666666666666,0.9586666666666667,0.9833333333333333,0.994,0.9983333333333333,0.9993333333333333,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
